Order ID,Order Date,Segment,Sales,Quantity,Discount,Region
DE-163398,11/9/21,Segment A,235.76399999999998,2,0,South
DE-152520,11/9/21,Segment A,658.7460000000001,3,0,South
DE-151015,6/13/21,Segment B,21.93,2,0,West
DE-140543,10/11/20,Segment A,861.81975,5,0.45,South
DE-166730,10/11/20,Segment A,20.1312,2,0.2,South
DE-120621,6/9/19,Segment A,43.974000000000004,7,0,West
DE-136231,6/9/19,Segment A,6.5520000000000005,4,0,West
DE-128902,6/9/19,Segment A,816.4368000000001,6,0.2,West
DE-164399,6/9/19,Segment A,16.6536,3,0.2,West
DE-117212,6/9/19,Segment A,103.41000000000001,5,0,West
DE-161172,6/9/19,Segment A,1535.5656,9,0.2,West
DE-157322,6/9/19,Segment A,820.2816,4,0.2,West
DE-107524,4/16/22,Segment A,13.9968,3,0.2,South
DE-144974,12/6/21,Segment A,367.1784,3,0.2,West
DE-145387,11/22/20,Segment C,82.572,5,0.8,South
DE-139731,11/22/20,Segment C,3.0528,3,0.8,South
DE-168809,11/11/19,Segment A,599.292,6,0,Midwest
DE-118773,5/13/19,Segment A,49.95,2,0,West
DE-121643,8/27/19,Segment A,7.704000000000001,2,0,West
DE-145261,8/27/19,Segment A,192.132,3,0.2,West
DE-168473,8/27/19,Segment A,20.448,4,0.2,West
DE-123918,12/10/21,Segment B,29.19,7,0,Midwest
DE-165918,12/10/21,Segment B,90.51,7,0,Midwest
DE-119508,7/17/22,Segment A,64.2348,2,0.3,Northeast
DE-106299,9/25/20,Segment A,940.1670000000001,3,0,West
DE-124079,1/16/21,Segment A,10.4832,2,0.2,West
DE-124716,1/16/21,Segment A,81.51299999999999,3,0,West
DE-119865,9/17/20,Segment A,2775.087,7,0.5,Northeast
DE-115931,9/17/20,Segment A,8.6562,2,0.7,Northeast
DE-101539,9/17/20,Segment A,111.78,3,0.2,Northeast
DE-132626,9/17/20,Segment A,2.9375999999999998,2,0.2,Northeast
DE-113880,9/17/20,Segment A,77.67360000000001,6,0.2,Northeast
DE-129693,9/17/20,Segment A,6.1722,6,0.7,Northeast
DE-136623,9/17/20,Segment A,14.184,2,0.2,Northeast
DE-130456,10/20/22,Segment C,35.3664,3,0.2,South
DE-138128,12/9/21,Segment B,1646.3160000000003,7,0.2,South
DE-112522,12/9/21,Segment B,286.38,5,0.6,South
DE-168172,12/27/20,Segment C,135.9936,9,0.2,South
DE-116596,12/27/20,Segment C,638.8790399999999,3,0.32,South
DE-144078,12/27/20,Segment C,254.46959999999999,3,0.3,South
DE-152310,12/27/20,Segment C,445.4016,4,0.2,South
DE-102631,9/11/22,Segment B,220.752,4,0.2,Midwest
DE-117345,7/18/21,Segment B,116.82,2,0,West
DE-117086,9/20/22,Segment B,143.424,2,0.2,South
DE-144491,3/12/21,Segment B,68.97,2,0,Midwest
DE-142342,3/12/21,Segment B,26.19,2,0,Midwest
DE-109085,10/20/19,Segment A,190.764,4,0,Midwest
DE-122070,6/21/21,Segment A,40.5,3,0,South
DE-145863,6/21/21,Segment A,19.62,2,0,South
DE-147704,4/18/20,Segment A,34.398,6,0,Midwest
DE-100902,4/18/20,Segment A,67.662,6,0,Midwest
DE-143448,4/18/20,Segment A,5.5440000000000005,2,0,Midwest
DE-111500,4/18/20,Segment A,80.991,1,0,Midwest
DE-133592,12/12/21,Segment B,22.89,7,0,Northeast
DE-154081,12/12/21,Segment B,1544.9250000000002,5,0,Northeast
DE-136805,6/18/21,Segment A,187.704,6,0,Northeast
DE-166443,6/18/21,Segment A,29.16,5,0,Northeast
DE-168809,6/18/21,Segment A,287.46900000000005,5,0.1,Northeast
DE-153325,6/18/21,Segment A,13.104000000000001,2,0,Northeast
DE-142685,6/18/21,Segment A,27,2,0,Northeast
DE-151561,6/18/21,Segment A,43.632,4,0.2,Northeast
DE-159506,6/18/21,Segment A,1.512,1,0,Northeast
DE-105914,11/24/20,Segment A,12.582,2,0,West
DE-103730,11/24/20,Segment A,23.241600000000002,6,0.2,West
DE-167696,11/24/20,Segment A,132.057,3,0,West
DE-116701,11/24/20,Segment A,71.784,4,0,West
DE-101483,4/30/20,Segment C,255.738,5,0.3,Midwest
DE-127369,12/5/19,Segment B,1669.5359999999998,8,0.2,West
DE-135860,12/5/19,Segment B,251.952,4,0.2,West
DE-152331,6/5/21,Segment A,68.292,2,0,South
DE-164756,9/19/21,Segment A,4.1544,1,0.2,Northeast
DE-117639,9/15/22,Segment A,17.145,3,0,Midwest
DE-127173,4/26/20,Segment A,748.7424000000001,8,0.2,South
DE-169474,4/26/20,Segment A,87.33600000000001,2,0.2,South
DE-106047,4/26/20,Segment A,65.5056,1,0.2,South
DE-111773,12/10/22,Segment B,1.8719999999999999,3,0.8,South
DE-101798,12/10/22,Segment B,14.562000000000001,3,0.6,South
DE-167899,12/10/22,Segment B,40.86,3,0.2,South
DE-166989,11/26/19,Segment A,17.37,5,0.6,South
DE-155068,6/13/21,Segment B,312.24,1,0,South
DE-117058,6/13/21,Segment B,25.11,3,0,South
DE-144288,10/12/19,Segment A,13.41,5,0,West
DE-149384,10/12/19,Segment A,19.251,1,0,West
DE-122973,9/3/20,Segment B,301.476,7,0.2,South
DE-116092,11/14/22,Segment C,276.4512,3,0.2,Midwest
DE-163923,5/29/22,Segment A,271.764,2,0,South
DE-167640,10/27/22,Segment A,17.991,1,0,Midwest
DE-113096,10/27/22,Segment A,5.5440000000000005,2,0,Midwest
DE-118640,4/6/21,Segment C,190.0416,7,0.2,South
DE-141215,9/18/21,Segment B,30.150000000000002,3,0,West
DE-142573,9/18/21,Segment B,110.376,2,0.2,West
